Wavelength,Lamps-01,Lamps-02,Lamps-03,Lamps-04,Lamps-05,Lamps-06,Lamps-07,Lamps-08,Lamps-09,Lamps-10,Lamps-11,Lamps-12
1980,2.706916,5.839722,8.973924,12.216941,15.412007,18.610592,21.750778,24.908847,28.161624,31.321018,34.6967,37.935672
1990,2.828252,6.084653,9.333508,12.70768,16.033324,19.282621,22.584237,25.862547,29.228831,32.513841,35.913277,39.301448
2000,2.901227,6.329656,9.592893,13.00742,16.436599,19.744617,23.119301,26.472682,30.031341,33.364383,36.92094,40.344814
2010,3.021206,6.539947,9.793849,13.365542,16.79333,20.208279,23.629972,27.1392,30.638886,34.114869,37.662854,41.196511
2020,3.077642,6.557181,10.018965,13.481806,17.043534,20.433115,23.905668,27.310587,30.855278,34.413704,38.116019,41.594525
2030,3.107908,6.634875,10.02093,13.518705,16.966724,20.363846,23.822282,27.259129,30.855345,34.293357,37.899585,41.363791
2040,2.999455,6.463233,9.798722,13.320528,16.72327,20.043217,23.485983,26.802795,30.249542,33.709737,37.281676,40.756945
2050,2.930116,6.219587,9.657141,13.028368,16.312519,19.587342,22.823217,26.130809,29.525793,32.873043,36.270177,39.532256
2060,2.855525,6.078037,9.242254,12.563761,15.828833,19.004315,22.191787,25.328069,28.533649,31.777576,35.193588,38.389315
2070,2.856692,5.909297,8.921188,12.184384,15.329326,18.380866,21.526128,24.601206,27.659715,30.689001,34.044314,37.218759
2080,2.695646,5.776382,8.71177,11.944925,15.03328,17.939153,21.062588,23.982557,27.023187,30.056719,33.22259,36.321609
2090,2.599391,5.788074,8.606928,11.76849,14.789822,17.649385,20.681112,23.643664,26.71428,29.597846,32.679097,35.750186
2100,2.628955,5.763436,8.55639,11.644947,14.77185,17.510735,20.521322,23.310319,26.363328,29.407175,32.413603,35.320325
2110,2.610227,5.66037,8.518319,11.543517,14.562568,17.593827,20.40967,23.346856,26.314612,29.236885,32.304918,35.315367
2120,2.6602,5.614553,8.496793,11.614683,14.611438,17.585064,20.4525,23.36951,26.388585,29.361074,32.402972,35.31469
2130,2.743117,5.744643,8.715175,11.784944,14.743565,17.650337,20.637313,23.561275,26.578966,29.45632,32.614738,35.641758
2140,2.693293,5.713297,8.676622,11.771473,14.854495,17.72159,20.699406,23.732406,26.721314,29.706626,32.799639,35.858354
2150,2.721146,5.789867,8.827042,11.99666,15.009129,17.929421,21.052405,23.911016,26.948451,29.974091,33.123142,36.129638
2160,2.76949,5.89438,8.836339,12.015726,15.04879,17.958802,21.00812,24.106703,27.102205,30.201655,33.255546,36.292409
2170,2.771884,5.848985,8.917771,12.035903,15.191206,18.172187,21.161726,24.133547,27.15158,30.212657,33.309398,36.33547
2180,2.850327,5.994339,8.897805,12.066996,15.220326,18.124517,21.219271,24.205244,27.17483,30.297026,33.444843,36.412574
2190,2.822653,5.85735,8.932915,11.990905,15.076903,17.9436,20.968287,23.972827,27.022621,30.036991,33.08442,36.076334
2200,2.812153,5.878027,8.862931,11.886047,14.916689,17.89961,20.837192,23.815708,26.860446,29.827875,32.898507,35.865559
2210,2.802041,5.865871,8.863515,11.806826,14.851909,17.790347,20.740494,23.70153,26.65693,29.621405,32.649938,35.67153
2220,2.76019,5.792228,8.747571,11.715947,14.795162,17.633661,20.58273,23.475929,26.450584,29.393706,32.49238,35.361632
2230,2.764658,5.743718,8.569604,11.578837,14.568102,17.463684,20.3368,23.213854,26.107709,29.015123,32.046461,34.945153
2240,2.695902,5.643187,8.413433,11.46493,14.310334,17.11718,19.969374,22.824438,25.665942,28.523924,31.486915,34.383688
2250,2.660539,5.408371,8.260398,11.068642,13.851844,16.60205,19.417668,22.160956,24.992537,27.706055,30.596478,33.415491
2260,2.483428,5.174247,7.806872,10.584877,13.274655,15.841829,18.557616,21.152844,23.872498,26.52824,29.347531,31.992827
2270,2.282568,4.796327,7.320122,9.883638,12.504507,14.835245,17.38289,19.860176,22.354733,24.920426,27.49298,29.951455
2280,2.021202,4.414061,6.652374,9.077549,11.484517,13.685027,15.975,18.234724,20.591547,22.890042,25.30995,27.64198
2290,1.808114,3.957942,6.031696,8.256111,10.356397,12.418115,14.592344,16.771683,18.730911,20.90009,23.005761,25.213935
2300,1.599468,3.619335,5.550544,7.497939,9.470545,11.408253,13.247513,15.215765,17.114098,19.095528,21.037833,23.05919
2310,1.512447,3.359515,5.149507,7.110546,8.863739,10.704191,12.369025,14.275502,16.106404,17.864857,19.731161,21.620632
2320,1.364268,3.224382,4.953664,6.837659,8.676165,10.194482,12.0464,13.818404,15.517085,17.366766,19.180672,20.924418
2330,1.399015,3.149454,4.911471,6.586717,8.344685,9.97668,11.710424,13.469963,15.079267,16.898976,18.70912,20.413423
2340,1.234179,2.987268,4.512946,6.330931,8.071188,9.760298,11.363174,13.039872,14.659889,16.318482,17.990243,19.770151
2350,1.204433,2.853001,4.46639,6.176771,7.854732,9.258961,10.98477,12.599847,14.085124,15.824057,17.415783,19.072829
2360,1.220219,2.834278,4.336158,5.974916,7.631874,9.110031,10.615022,12.170055,13.826314,15.258477,16.958412,18.542002
2370,1.084106,2.685115,4.095171,5.785109,7.350276,8.765987,10.218322,11.801939,13.260802,14.906853,16.381192,17.921068
2380,1.068236,2.545141,3.99632,5.539107,7.057986,8.508051,9.886198,11.439436,13.019521,14.530226,15.914106,17.408964
2390,0.966708,2.438043,3.91998,5.42199,6.918901,8.29803,9.666655,11.143064,12.547192,13.940396,15.44017,16.954778
2400,0.841119,2.371076,3.749156,5.284082,6.613555,7.914749,9.348314,10.821244,12.148497,13.559431,14.94723,16.437622
