Wavelength,Lamps-00,Lamps-01,Lamps-02,Lamps-03,Lamps-04,Lamps-05,Lamps-06,Lamps-07,Lamps-08,Lamps-09,Lamps-10,Lamps-11,Lamps-12
1370.000000,0.196295,27.156539,51.224771,75.865646,100.072135,125.166585,148.521220,172.287044,197.965412,221.497934,244.997149,269.865961,296.848636
1380.000000,0.061745,25.709557,48.693157,71.849207,94.845918,118.949200,140.843119,163.563130,187.882795,210.142808,232.302219,256.065004,281.363152
1390.000000,0.037244,23.249701,44.597487,65.623349,86.854068,108.948942,129.008565,149.653669,172.013417,192.464360,212.525480,234.416904,257.386554
1400.000000,0.070161,20.639433,39.791320,58.653510,77.646983,97.216785,115.370557,134.003635,153.509858,172.091417,190.137237,209.420260,229.867673
1410.000000,0.104045,18.530582,35.665366,52.450633,69.681625,87.218043,103.556486,120.415520,137.864284,154.431383,170.803515,188.187096,205.974085
1420.000000,0.046698,16.913138,32.958492,48.641975,64.656401,80.959670,96.235958,112.119075,128.209801,143.817475,159.058076,175.265586,191.757704
1430.000000,0.047732,15.805414,31.024053,45.782636,60.956639,76.211026,90.743619,105.882908,120.947688,135.767090,150.269926,165.700841,181.139942
1440.000000,0.000000,14.969531,29.684217,43.767116,58.476385,73.044739,87.088485,101.423048,115.961539,130.247374,144.361545,159.239044,173.871861
1450.000000,0.007915,14.443648,28.592900,42.469147,56.622367,70.911487,84.522371,98.650714,112.831365,126.679265,140.582720,154.902906,169.093370
1460.000000,0.027428,14.198531,28.149237,41.628960,55.642257,69.705732,83.047685,96.969285,110.811370,124.588346,138.101183,152.283356,166.354405
1470.000000,0.035366,14.163390,28.061127,41.389280,55.269161,69.182792,82.461363,96.396461,110.113691,123.834382,137.347796,151.472113,165.301095
1480.000000,0.000000,14.200330,28.136787,41.650561,55.507897,69.586973,82.947064,96.923936,110.796171,124.547178,138.211396,152.433367,166.343741
1490.000000,0.037602,14.470231,28.542270,42.180079,56.282771,70.291027,83.898949,98.069548,111.930852,125.883586,139.735496,154.047263,168.190517
1500.000000,0.010863,14.704432,28.960657,42.814298,57.136876,71.451679,85.244748,99.586736,113.577937,127.848724,141.898295,156.528424,170.589757
